artists,genres
Adriel Favela,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
Adrienne Albert,['american contemporary classical']
Adriï¿½ï¿½n Pat,['latin classical']
Advance,[]
Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
Adventure Time,['indie pop']
Aegis,"['classic opm', 'opm']"
Aeon Soul,[]
Aer,"['album rock', 'classic rock', 'hard rock', 'rock']"
Aero Chord,"['bass trap', 'edm', 'gaming edm', 'traprun']"
Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']"
Aerospace,['progressive psytrance']
Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop']"
Afife Hanï¿½,[]
Aflacko,['cali rap']
Afourteen,"['dark trap', 'meme rap']"
Afric Simone,[]
African Doctor,[]
Afrika 70,[]
Afrika Bambaataa,"['bronx hip hop', 'east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop', 'rap']"
Afro B,"['afroswing', 'dancehall', 'uk dancehall']"
Afro Celt Sound System,"['celtic', 'world', 'world fusion']"
Afro-Cuban All Stars,['latin jazz']
Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']"
Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']"
Afrosound,"['chicha', 'cumbia', 'nu-cumbia']"
Afsal,"['deep indian pop', 'filmi', 'mollywood']"
After 7,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']"
After The Fire,['new wave']
Afu-Ra,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']"
Afzal Lahori,[]
Against All Authority,"['modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk']"
Against Me!,"['folk punk', 'gainesville indie', 'orgcore', 'punk', 'skate punk']"
Against The Current,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']"
Agapitos,[]
Agatha Lee Monn,[]
Agatha Reilly,['background music']
Agathoklis Mouskas,[]
Agent Orange,"['hardcore punk', 'punk', 'skate punk', 'surf punk']"
Agent Steel,"['melodic thrash', 'metal', 'neo-trad metal', 'nwothm', 'old school thrash', 'speed metal', 'thrash metal', 'us power metal']"
Agha,[]
Agnes,['chamber pop']
Agnes Baltsa,"['classical mezzo-soprano', 'classical performance', 'opera']"
Agnes Giebel,['classical soprano']
Agnes Moorehead,['drama']
Agnes Obel,['chamber pop']
Agnes Varda,[]
Agnetha Fï¿½ï¿½lt,"['classic swedish pop', 'europop', 'new wave pop', 'swedish pop']"
Agnieszka Duczmal,[]
Agnostic Front,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'oi', 'old school thrash', 'punk', 'straight edge']"
Ago,"['electronica', 'microhouse', 'minimal techno', 'new french touch', 'organic house', 'tech house']"
Agua Marina,"['cumbia peruana', 'pop peruano']"
Aguaturbia,['chilean rock']
"Agung, tambul, and dabakan",['pinoy traditional']
Agust D,['k-rap']
Agustin Magaldi,[]
Agustï¿½ï¿½n Barrios Mang,"['classical guitar', 'guitarra clasica', 'latin classical', 'polca paraguaya']"
Agustï¿½ï¿½n Ir,['vintage tango']
